Name,SiteID,RoundDate,Streamflow,Turbidity,Temperature,Latitude,Longitude,Easting,Northing
TAMBO @ U/S SMITH CK,223214,1,0.21,6,15.2," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,2,0.1,2.7,14.7," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,3,0.13,10.5,14.6," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,4,0.15,2,8.2," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,5,0.26,1.2,7.8," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
TAMBO @ U/S SMITH CK,223214,6,1.54,14,4.3," 36°57'16.9""S","147°55'39.5""E",582588.000,5909735.999
Nicholson R @ GR,223218,7,131.87,2.4,7," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,8,57.02,4,5.9," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,9,49.88,2.7,14.3," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,10,35.12,3,17," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,11,28.63,2.6,19," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,12,24.49,2,21.3," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,1,25.32,2.7,23.9," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,2,238.71,16.5,19," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,3,49.81,4.3,17.7," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,4,184.91,9.5,15.3," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,5,67.97,5.3,11.5," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
Nicholson R @ GR,223218,6,186.76,39,9.5," 37°43'39.4""S","147°41'43.3""E",561277.445,5824164.128
MITCHELL GLENALADALE,224203,7,2369.65,2.3,9.8," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,8,1679.57,3.1,7.1," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,9,2090.7,5.6,11.1," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,10,1440.35,2.5,15," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,11,1092.79,2.8,19.9," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,12,2135.8,12.2,21.1," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,1,459.43,3.6,22.3," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,2,1414.42,5,24.4," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,3,386.19,4.2,21.9," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,4,977.95,18.9,16.3," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,5,405.2,2,17.2," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
MITCHELL GLENALADALE,224203,6,1623.2,2.4,9.6," 37°45'48.9""S","147°22'29.2""E",533010.002,5820334.000
WONNANGATTA @CROOKED,224206,7,925.08,6.4,8.5," 37°24'27.0""S","147°05'21.0""E",507890.998,5859903.000
WONNANGATTA @CROOKED,224206,8,538.42,2.6,11.5," 37°24'27.0""S","147°05'21.0""E",507890.998,5859903.000
